时间,气温,风力等级,日出时间,日落时间,天气
2023-12-12 00:00:00,-5,2,2023-12-12 07:15:00,2023-12-12 16:54:00,多云
2023-12-12 01:00:00,-4,2,2023-12-12 07:15:00,2023-12-12 16:54:00,多云
2023-12-12 02:00:00,-4,2,2023-12-12 07:15:00,2023-12-12 16:54:00,多云
2023-12-12 03:00:00,-4,1,2023-12-12 07:15:00,2023-12-12 16:54:00,多云
2023-12-12 04:00:00,-4,1,2023-12-12 07:15:00,2023-12-12 16:54:00,多云
2023-12-12 05:00:00,-4,1,2023-12-12 07:15:00,2023-12-12 16:54:00,多云
2023-12-12 06:00:00,-4,1,2023-12-12 07:15:00,2023-12-12 16:54:00,多云
2023-12-12 07:00:00,-5,1,2023-12-12 07:15:00,2023-12-12 16:54:00,晴
2023-12-12 08:00:00,-6,1,2023-12-12 07:15:00,2023-12-12 16:54:00,晴
2023-12-12 09:00:00,-3,1,2023-12-12 07:15:00,2023-12-12 16:54:00,晴
2023-12-12 10:00:00,-1,1,2023-12-12 07:15:00,2023-12-12 16:54:00,晴
2023-12-12 11:00:00,0,2,2023-12-12 07:15:00,2023-12-12 16:54:00,晴
2023-12-12 12:00:00,1,2,2023-12-12 07:15:00,2023-12-12 16:54:00,晴
2023-12-12 13:00:00,2,2,2023-12-12 07:15:00,2023-12-12 16:54:00,晴
2023-12-12 14:00:00,2,2,2023-12-12 07:15:00,2023-12-12 16:54:00,晴
2023-12-12 15:00:00,2,2,2023-12-12 07:15:00,2023-12-12 16:54:00,晴
2023-12-12 16:00:00,2,2,2023-12-12 07:15:00,2023-12-12 16:54:00,晴
2023-12-12 17:00:00,1,2,2023-12-12 07:15:00,2023-12-12 16:54:00,晴
2023-12-12 18:00:00,-1,1,2023-12-12 07:15:00,2023-12-12 16:54:00,晴
2023-12-12 19:00:00,-1,1,2023-12-12 07:15:00,2023-12-12 16:54:00,晴
2023-12-12 20:00:00,-2,1,2023-12-12 07:15:00,2023-12-12 16:54:00,晴
2023-12-12 21:00:00,-3,1,2023-12-12 07:15:00,2023-12-12 16:54:00,晴
2023-12-12 22:00:00,-3,1,2023-12-12 07:15:00,2023-12-12 16:54:00,晴
2023-12-12 23:00:00,-3,2,2023-12-12 07:15:00,2023-12-12 16:54:00,晴
2023-12-13 00:00:00,-5,2,2023-12-13 07:16:00,2023-12-13 16:54:00,晴
2023-12-13 01:00:00,-5,2,2023-12-13 07:16:00,2023-12-13 16:54:00,晴
2023-12-13 02:00:00,-4,2,2023-12-13 07:16:00,2023-12-13 16:54:00,晴
2023-12-13 03:00:00,-4,2,2023-12-13 07:16:00,2023-12-13 16:54:00,晴
2023-12-13 04:00:00,-4,2,2023-12-13 07:16:00,2023-12-13 16:54:00,晴
2023-12-13 05:00:00,-4,2,2023-12-13 07:16:00,2023-12-13 16:54:00,多云
2023-12-13 06:00:00,-4,2,2023-12-13 07:16:00,2023-12-13 16:54:00,多云
2023-12-13 07:00:00,-3,2,2023-12-13 07:16:00,2023-12-13 16:54:00,多云
2023-12-13 08:00:00,-2,2,2023-12-13 07:16:00,2023-12-13 16:54:00,晴
2023-12-13 09:00:00,-1,2,2023-12-13 07:16:00,2023-12-13 16:54:00,多云
2023-12-13 10:00:00,0,2,2023-12-13 07:16:00,2023-12-13 16:54:00,小雪
2023-12-13 11:00:00,0,2,2023-12-13 07:16:00,2023-12-13 16:54:00,小雪
2023-12-13 12:00:00,0,2,2023-12-13 07:16:00,2023-12-13 16:54:00,阴
